,symbol,date,open,close,volume,high,low,split,dividend
0,GOOGL,2019-12-31T00:00:00+0000,1335.79,1339.39,976061.0,1340.66,1332.13,1.0,0.0
1,GOOGL,2019-12-30T00:00:00+0000,1356.81,1339.71,1000592.0,1357.0,1337.84,1.0,0.0
2,GOOGL,2019-12-27T00:00:00+0000,1364.0,1354.64,1160873.0,1367.07,1353.0,1.0,0.0
3,GOOGL,2019-12-26T00:00:00+0000,1346.55,1362.47,1183800.0,1363.2,1345.51,1.0,0.0
4,GOOGL,2019-12-24T00:00:00+0000,1350.21,1344.43,673410.0,1352.01,1344.16,1.0,0.0
5,GOOGL,2019-12-23T00:00:00+0000,1358.73,1350.63,996967.0,1361.85,1348.0,1.0,0.0
6,GOOGL,2019-12-20T00:00:00+0000,1363.1,1351.22,2513849.0,1364.0,1350.73,1.0,0.0
7,GOOGL,2019-12-19T00:00:00+0000,1351.91,1356.44,1521082.0,1357.53,1348.75,1.0,0.0
8,GOOGL,2019-12-18T00:00:00+0000,1357.0,1351.91,1166733.0,1359.43,1350.46,1.0,0.0
9,GOOGL,2019-12-17T00:00:00+0000,1362.41,1354.89,1648549.0,1364.33,1350.77,1.0,0.0
10,GOOGL,2019-12-16T00:00:00+0000,1355.0,1360.7,1406457.0,1363.53,1350.61,1.0,0.0
11,GOOGL,2019-12-13T00:00:00+0000,1347.9,1346.87,1658684.0,1351.35,1341.66,1.0,0.0
12,GOOGL,2019-12-12T00:00:00+0000,1343.21,1348.49,1456466.0,1354.58,1338.2,1.0,0.0
13,GOOGL,2019-12-11T00:00:00+0000,1348.3,1344.25,1024308.0,1349.89,1341.1,1.0,0.0
14,GOOGL,2019-12-10T00:00:00+0000,1339.94,1342.89,880430.0,1348.0,1334.0,1.0,0.0
15,GOOGL,2019-12-09T00:00:00+0000,1338.86,1342.99,1556889.0,1357.55,1336.07,1.0,0.0
16,GOOGL,2019-12-06T00:00:00+0000,1332.75,1339.39,1648729.0,1342.47,1331.23,1.0,0.0
17,GOOGL,2019-12-05T00:00:00+0000,1327.0,1326.96,1220631.0,1327.98,1314.32,1.0,0.0
18,GOOGL,2019-12-04T00:00:00+0000,1306.1,1318.94,1776392.0,1324.27,1303.05,1.0,0.0
19,GOOGL,2019-12-03T00:00:00+0000,1278.66,1294.74,1480026.0,1297.23,1277.05,1.0,0.0
20,GOOGL,2019-12-02T00:00:00+0000,1302.56,1288.86,1328889.0,1305.44,1280.38,1.0,0.0
21,GOOGL,2019-11-29T00:00:00+0000,1306.6,1304.09,640069.0,1309.95,1303.23,1.0,0.0
22,GOOGL,2019-11-27T00:00:00+0000,1315.42,1312.13,940536.0,1317.64,1309.47,1.0,0.0
23,GOOGL,2019-11-26T00:00:00+0000,1309.91,1313.0,1097089.0,1314.01,1304.04,1.0,0.0
24,GOOGL,2019-11-25T00:00:00+0000,1296.26,1305.64,1179658.0,1310.41,1295.61,1.0,0.0
25,GOOGL,2019-11-22T00:00:00+0000,1303.0,1293.67,1388912.0,1306.9,1289.36,1.0,0.0
26,GOOGL,2019-11-21T00:00:00+0000,1299.25,1300.14,1277338.0,1311.12,1290.75,1.0,0.0
27,GOOGL,2019-11-20T00:00:00+0000,1311.36,1301.86,1445870.0,1313.21,1289.21,1.0,0.0
28,GOOGL,2019-11-19T00:00:00+0000,1326.63,1312.59,1093629.0,1326.63,1311.77,1.0,0.0
29,GOOGL,2019-11-18T00:00:00+0000,1332.34,1319.84,1399374.0,1333.92,1316.16,1.0,0.0
30,GOOGL,2019-11-15T00:00:00+0000,1315.05,1333.54,1964955.0,1333.54,1311.89,1.0,0.0
31,GOOGL,2019-11-14T00:00:00+0000,1295.0,1309.15,1450039.0,1315.72,1293.94,1.0,0.0
32,GOOGL,2019-11-13T00:00:00+0000,1293.18,1296.18,936085.0,1302.52,1292.15,1.0,0.0
33,GOOGL,2019-11-12T00:00:00+0000,1298.57,1297.21,1444342.0,1309.35,1294.24,1.0,0.0
34,GOOGL,2019-11-11T00:00:00+0000,1304.0,1298.28,861860.0,1304.9,1295.87,1.0,0.0
35,GOOGL,2019-11-08T00:00:00+0000,1301.52,1309.0,1521892.0,1317.11,1301.52,1.0,0.0
36,GOOGL,2019-11-07T00:00:00+0000,1294.28,1306.94,2257005.0,1322.65,1293.75,1.0,0.0
37,GOOGL,2019-11-06T00:00:00+0000,1290.09,1291.01,1231265.0,1292.99,1282.27,1.0,0.0
38,GOOGL,2019-11-05T00:00:00+0000,1291.2,1291.44,1257427.0,1297.24,1289.38,1.0,0.0
39,GOOGL,2019-11-04T00:00:00+0000,1276.11,1289.61,1531622.0,1292.5,1276.11,1.0,0.0
40,GOOGL,2019-11-01T00:00:00+0000,1265.8,1272.25,1440607.0,1273.0,1259.71,1.0,0.0
41,GOOGL,2019-10-31T00:00:00+0000,1260.0,1258.8,1595154.0,1266.52,1249.48,1.0,0.0
42,GOOGL,2019-10-30T00:00:00+0000,1255.15,1260.7,1460193.0,1268.02,1250.65,1.0,0.0
43,GOOGL,2019-10-29T00:00:00+0000,1276.0,1260.66,2632715.0,1280.8,1255.61,1.0,0.0
44,GOOGL,2019-10-28T00:00:00+0000,1275.0,1288.98,3010505.0,1299.24,1272.31,1.0,0.0
45,GOOGL,2019-10-25T00:00:00+0000,1252.0,1264.3,1355248.0,1268.0,1249.15,1.0,0.0
46,GOOGL,2019-10-24T00:00:00+0000,1259.11,1259.11,1140478.0,1262.9,1252.35,1.0,0.0
47,GOOGL,2019-10-23T00:00:00+0000,1240.21,1257.63,1176281.0,1258.04,1240.21,1.0,0.0
48,GOOGL,2019-10-22T00:00:00+0000,1244.48,1241.2,1281821.0,1248.73,1239.85,1.0,0.0
49,GOOGL,2019-10-21T00:00:00+0000,1248.7,1244.28,904715.0,1253.51,1239.99,1.0,0.0
50,GOOGL,2019-10-18T00:00:00+0000,1254.69,1244.41,1453691.0,1258.11,1240.14,1.0,0.0
51,GOOGL,2019-10-17T00:00:00+0000,1251.4,1252.8,1063981.0,1263.75,1249.87,1.0,0.0
52,GOOGL,2019-10-16T00:00:00+0000,1241.81,1243.0,1151028.0,1254.19,1238.53,1.0,0.0
53,GOOGL,2019-10-15T00:00:00+0000,1221.5,1242.24,1527216.0,1247.12,1220.92,1.0,0.0
54,GOOGL,2019-10-14T00:00:00+0000,1213.89,1217.77,683926.0,1225.88,1211.88,1.0,0.0
55,GOOGL,2019-10-11T00:00:00+0000,1224.03,1215.71,1126452.0,1228.75,1213.64,1.0,0.0
56,GOOGL,2019-10-10T00:00:00+0000,1198.6,1209.47,668244.0,1215.62,1197.86,1.0,0.0
57,GOOGL,2019-10-09T00:00:00+0000,1201.33,1202.4,813216.0,1208.46,1198.12,1.0,0.0
58,GOOGL,2019-10-08T00:00:00+0000,1198.77,1190.13,1032426.0,1206.87,1189.48,1.0,0.0
59,GOOGL,2019-10-07T00:00:00+0000,1207.0,1208.25,879020.0,1218.91,1204.36,1.0,0.0
60,GOOGL,2019-10-04T00:00:00+0000,1194.29,1210.96,1228686.0,1212.46,1190.97,1.0,0.0
61,GOOGL,2019-10-03T00:00:00+0000,1183.34,1189.43,1469413.0,1191.0,1163.14,1.0,0.0
62,GOOGL,2019-10-02T00:00:00+0000,1196.5,1177.92,1674774.0,1198.76,1172.63,1.0,0.0
63,GOOGL,2019-10-01T00:00:00+0000,1222.49,1206.0,1282735.0,1232.86,1205.55,1.0,0.0
64,GOOGL,2019-09-30T00:00:00+0000,1220.6,1221.14,1294609.0,1227.4,1213.42,1.0,0.0
65,GOOGL,2019-09-27T00:00:00+0000,1242.83,1225.95,1722481.0,1244.99,1215.2,1.0,0.0
66,GOOGL,2019-09-26T00:00:00+0000,1242.14,1242.29,1171577.0,1244.67,1231.82,1.0,0.0
67,GOOGL,2019-09-25T00:00:00+0000,1216.01,1245.94,1355162.0,1248.02,1209.2,1.0,0.0
68,GOOGL,2019-09-24T00:00:00+0000,1240.0,1218.33,1835712.0,1247.11,1210.64,1.0,0.0
69,GOOGL,2019-09-23T00:00:00+0000,1226.57,1234.69,1197069.0,1239.68,1223.78,1.0,0.0
70,GOOGL,2019-09-20T00:00:00+0000,1233.64,1229.84,1937743.0,1242.8,1223.58,1.0,0.0
71,GOOGL,2019-09-19T00:00:00+0000,1232.32,1238.75,847002.0,1244.34,1232.31,1.0,0.0
72,GOOGL,2019-09-18T00:00:00+0000,1230.24,1232.65,892788.0,1236.24,1216.47,1.0,0.0
73,GOOGL,2019-09-17T00:00:00+0000,1231.63,1229.88,1047201.0,1235.0,1223.35,1.0,0.0
74,GOOGL,2019-09-16T00:00:00+0000,1230.44,1231.63,1410880.0,1239.02,1225.19,1.0,0.0
75,GOOGL,2019-09-13T00:00:00+0000,1232.11,1240.03,1183762.0,1241.05,1227.08,1.0,0.0
76,GOOGL,2019-09-12T00:00:00+0000,1223.47,1234.97,1582230.0,1242.41,1222.56,1.0,0.0
77,GOOGL,2019-09-11T00:00:00+0000,1203.89,1220.0,1176066.0,1222.47,1202.28,1.0,0.0
78,GOOGL,2019-09-10T00:00:00+0000,1196.09,1205.7,1396077.0,1210.0,1196.01,1.0,0.0
79,GOOGL,2019-09-09T00:00:00+0000,1207.08,1205.27,1592958.0,1220.55,1193.17,1.0,0.0
80,GOOGL,2019-09-06T00:00:00+0000,1209.14,1206.32,948580.0,1212.94,1203.26,1.0,0.0
81,GOOGL,2019-09-05T00:00:00+0000,1193.66,1212.19,1320656.0,1214.0,1192.69,1.0,0.0
82,GOOGL,2019-09-04T00:00:00+0000,1179.45,1182.27,1065666.0,1184.88,1171.53,1.0,0.0
83,GOOGL,2019-09-03T00:00:00+0000,1181.85,1169.55,1296116.0,1189.08,1163.71,1.0,0.0
84,GOOGL,2019-08-30T00:00:00+0000,1200.35,1190.53,903375.0,1200.35,1185.72,1.0,0.0
85,GOOGL,2019-08-29T00:00:00+0000,1186.42,1194.24,982098.0,1199.19,1185.28,1.0,0.0
86,GOOGL,2019-08-28T00:00:00+0000,1164.87,1173.75,833830.0,1178.5,1160.25,1.0,0.0
87,GOOGL,2019-08-27T00:00:00+0000,1183.0,1170.82,1173489.0,1185.0,1164.56,1.0,0.0
88,GOOGL,2019-08-26T00:00:00+0000,1159.45,1171.18,1058926.0,1171.86,1154.85,1.0,0.0
89,GOOGL,2019-08-23T00:00:00+0000,1185.17,1153.58,1813141.0,1195.67,1150.0,1.0,0.0
90,GOOGL,2019-08-22T00:00:00+0000,1193.8,1191.52,867915.0,1198.78,1178.91,1.0,0.0
91,GOOGL,2019-08-21T00:00:00+0000,1195.82,1191.58,708272.0,1200.56,1187.92,1.0,0.0
92,GOOGL,2019-08-20T00:00:00+0000,1195.35,1183.53,1010566.0,1198.0,1183.05,1.0,0.0
93,GOOGL,2019-08-19T00:00:00+0000,1191.83,1200.44,1222854.0,1209.39,1190.4,1.0,0.0
94,GOOGL,2019-08-16T00:00:00+0000,1180.79,1179.21,1265187.0,1183.84,1173.0,1.0,0.0
