,symbol,date,open,close,volume,high,low,split,dividend
0,MSFT,2019-12-31T00:00:00+0000,156.77,157.7,18393383.0,157.77,156.45,1.0,0.0
1,MSFT,2019-12-30T00:00:00+0000,158.9865,157.59,16356720.0,159.02,156.73,1.0,0.0
2,MSFT,2019-12-27T00:00:00+0000,159.45,158.96,18414352.0,159.55,158.22,1.0,0.0
3,MSFT,2019-12-26T00:00:00+0000,157.5511,158.67,14526927.0,158.73,157.4,1.0,0.0
4,MSFT,2019-12-24T00:00:00+0000,157.48,157.38,8989150.0,157.71,157.115,1.0,0.0
5,MSFT,2019-12-23T00:00:00+0000,158.12,157.41,17726283.0,158.12,157.27,1.0,0.0
6,MSFT,2019-12-20T00:00:00+0000,157.35,157.41,53599613.0,158.49,156.29,1.0,0.0
7,MSFT,2019-12-19T00:00:00+0000,154.0,155.71,25813825.0,155.77,153.75,1.0,0.0
8,MSFT,2019-12-18T00:00:00+0000,154.3,154.37,24132379.0,155.48,154.18,1.0,0.0
9,MSFT,2019-12-17T00:00:00+0000,155.45,154.69,25443527.0,155.71,154.45,1.0,0.0
10,MSFT,2019-12-16T00:00:00+0000,155.11,155.53,24152770.0,155.9,154.82,1.0,0.0
11,MSFT,2019-12-13T00:00:00+0000,153.1106,154.53,23850062.0,154.89,152.83,1.0,0.0
12,MSFT,2019-12-12T00:00:00+0000,151.65,153.24,24645366.0,153.44,151.02,1.0,0.0
13,MSFT,2019-12-11T00:00:00+0000,151.54,151.7,18860001.0,151.87,150.33,1.0,0.0
14,MSFT,2019-12-10T00:00:00+0000,151.29,151.13,16481060.0,151.89,150.765,1.0,0.0
15,MSFT,2019-12-09T00:00:00+0000,151.07,151.36,16741350.0,152.21,150.91,1.0,0.0
16,MSFT,2019-12-06T00:00:00+0000,150.99,151.75,16410400.0,151.87,150.27,1.0,0.0
17,MSFT,2019-12-05T00:00:00+0000,150.05,149.93,17880601.0,150.32,149.48,1.0,0.0
18,MSFT,2019-12-04T00:00:00+0000,150.14,149.85,17580617.0,150.1799,149.2,1.0,0.0
19,MSFT,2019-12-03T00:00:00+0000,147.49,149.31,25192145.0,149.43,146.65,1.0,0.0
20,MSFT,2019-12-02T00:00:00+0000,151.81,149.55,27473616.0,151.83,148.32,1.0,0.0
21,MSFT,2019-11-29T00:00:00+0000,152.1,151.38,11977300.0,152.3,151.28,1.0,0.0
22,MSFT,2019-11-27T00:00:00+0000,152.33,152.32,15201293.0,152.5,151.52,1.0,0.0
23,MSFT,2019-11-26T00:00:00+0000,151.36,152.03,24635100.0,152.42,151.32,1.0,0.0
24,MSFT,2019-11-25T00:00:00+0000,150.0,151.23,22428585.0,151.35,149.92,1.0,0.0
25,MSFT,2019-11-22T00:00:00+0000,150.07,149.59,15841680.0,150.3,148.82,1.0,0.0
26,MSFT,2019-11-21T00:00:00+0000,149.4,149.48,18576083.0,149.8,148.501,1.0,0.0
27,MSFT,2019-11-20T00:00:00+0000,150.31,149.62,25720060.0,150.84,148.46,1.0,0.51
28,MSFT,2019-11-19T00:00:00+0000,150.88,150.39,23960164.0,151.33,150.195,1.0,0.0
29,MSFT,2019-11-18T00:00:00+0000,150.07,150.34,21554762.0,150.55,148.98,1.0,0.0
30,MSFT,2019-11-15T00:00:00+0000,148.93,149.97,23508807.0,149.99,148.27,1.0,0.0
31,MSFT,2019-11-14T00:00:00+0000,147.02,148.06,19755100.0,148.41,147.0,1.0,0.0
32,MSFT,2019-11-13T00:00:00+0000,146.74,147.31,17444230.0,147.4625,146.28,1.0,0.0
33,MSFT,2019-11-12T00:00:00+0000,146.28,147.07,18648712.0,147.57,146.06,1.0,0.0
34,MSFT,2019-11-11T00:00:00+0000,145.34,146.11,14370178.0,146.42,144.73,1.0,0.0
35,MSFT,2019-11-08T00:00:00+0000,143.98,145.96,16752939.0,145.99,143.76,1.0,0.0
36,MSFT,2019-11-07T00:00:00+0000,143.84,144.26,17786715.0,144.88,143.77,1.0,0.0
37,MSFT,2019-11-06T00:00:00+0000,144.37,144.06,16575798.0,144.52,143.2,1.0,0.0
38,MSFT,2019-11-05T00:00:00+0000,144.97,144.46,18250172.0,145.02,143.905,1.0,0.0
39,MSFT,2019-11-04T00:00:00+0000,144.83,144.55,16911999.0,145.0,144.16,1.0,0.0
40,MSFT,2019-11-01T00:00:00+0000,144.26,143.72,33128366.0,144.42,142.965,1.0,0.0
41,MSFT,2019-10-31T00:00:00+0000,144.9,143.37,24605135.0,144.93,142.99,1.0,0.0
42,MSFT,2019-10-30T00:00:00+0000,143.52,144.61,18496591.0,145.0,142.79,1.0,0.0
43,MSFT,2019-10-29T00:00:00+0000,144.08,142.83,20589469.0,144.5,142.65,1.0,0.0
44,MSFT,2019-10-28T00:00:00+0000,144.4,144.19,34912902.0,145.67,143.51,1.0,0.0
45,MSFT,2019-10-25T00:00:00+0000,139.34,140.73,25959724.0,141.14,139.2,1.0,0.0
46,MSFT,2019-10-24T00:00:00+0000,139.39,139.94,37278399.0,140.42,138.67,1.0,0.0
47,MSFT,2019-10-23T00:00:00+0000,136.88,137.24,31380309.0,137.45,135.61,1.0,0.0
48,MSFT,2019-10-22T00:00:00+0000,138.97,136.37,27935270.0,140.01,136.26,1.0,0.0
49,MSFT,2019-10-21T00:00:00+0000,138.45,138.43,20078066.0,138.5,137.01,1.0,0.0
50,MSFT,2019-10-18T00:00:00+0000,139.76,137.41,30650850.0,140.0,136.56,1.0,0.0
51,MSFT,2019-10-17T00:00:00+0000,140.95,139.69,22102797.0,141.42,139.02,1.0,0.0
52,MSFT,2019-10-16T00:00:00+0000,140.79,140.41,20841687.0,140.99,139.53,1.0,0.0
53,MSFT,2019-10-15T00:00:00+0000,140.06,141.575,19917762.0,141.79,139.81,1.0,0.0
54,MSFT,2019-10-14T00:00:00+0000,139.69,139.55,13591639.0,140.29,139.52,1.0,0.0
55,MSFT,2019-10-11T00:00:00+0000,140.12,139.68,25551065.0,141.03,139.5,1.0,0.0
56,MSFT,2019-10-10T00:00:00+0000,138.49,139.1,18396605.0,139.6699,138.25,1.0,0.0
57,MSFT,2019-10-09T00:00:00+0000,137.46,138.24,20178482.0,138.7,136.97,1.0,0.0
58,MSFT,2019-10-08T00:00:00+0000,137.08,135.67,26783336.0,137.76,135.62,1.0,0.0
59,MSFT,2019-10-07T00:00:00+0000,137.14,137.12,16601284.0,138.18,137.02,1.0,0.0
60,MSFT,2019-10-04T00:00:00+0000,136.75,138.12,23839548.0,138.25,136.42,1.0,0.0
61,MSFT,2019-10-03T00:00:00+0000,134.95,136.28,26379798.0,136.75,133.22,1.0,0.0
62,MSFT,2019-10-02T00:00:00+0000,136.25,134.65,32001763.0,136.37,133.5799,1.0,0.0
63,MSFT,2019-10-01T00:00:00+0000,139.66,137.07,22581929.0,140.25,137.0,1.0,0.0
64,MSFT,2019-09-30T00:00:00+0000,138.05,139.03,18430390.0,139.215,137.78,1.0,0.0
65,MSFT,2019-09-27T00:00:00+0000,140.15,137.73,22498958.0,140.36,136.645,1.0,0.0
66,MSFT,2019-09-26T00:00:00+0000,139.44,139.54,17813512.0,140.18,138.44,1.0,0.0
67,MSFT,2019-09-25T00:00:00+0000,137.5,139.36,22544054.0,139.958,136.03,1.0,0.0
68,MSFT,2019-09-24T00:00:00+0000,140.36,137.38,30016670.0,140.69,136.88,1.0,0.0
69,MSFT,2019-09-23T00:00:00+0000,139.23,139.14,17408374.0,139.63,138.44,1.0,0.0
70,MSFT,2019-09-20T00:00:00+0000,141.01,139.44,40040766.0,141.65,138.25,1.0,0.0
71,MSFT,2019-09-19T00:00:00+0000,140.3,141.07,36095413.0,142.37,140.0736,1.0,0.0
72,MSFT,2019-09-18T00:00:00+0000,137.36,138.52,24473386.0,138.67,136.5299,1.0,0.0
73,MSFT,2019-09-17T00:00:00+0000,136.96,137.39,17976285.0,137.52,136.425,1.0,0.0
74,MSFT,2019-09-16T00:00:00+0000,135.83,136.33,16731440.0,136.7,135.66,1.0,0.0
75,MSFT,2019-09-13T00:00:00+0000,137.78,137.32,23363057.0,138.06,136.57,1.0,0.0
76,MSFT,2019-09-12T00:00:00+0000,137.85,137.52,27009981.0,138.42,136.87,1.0,0.0
